DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,NL,2017,38220,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,NL,2018,39768,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,NL,2019,40391,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,NL,2020,39069,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,PL,2017,19062,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,PL,2018,20053,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,PL,2019,21247,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,PL,2020,21301,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,PT,2017,22232,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,PT,2018,23187,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,PT,2019,24040,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,PT,2020,22529,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,RO,2017,18417,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,RO,2018,19583,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,RO,2019,21419,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,RO,2020,21123,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,SE,2017,36332,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,SE,2018,37094,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,SE,2019,38335,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,SE,2020,38003,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,SI,2017,24705,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,SI,2018,26142,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,SI,2019,27322,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,SI,2020,26400,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,SK,2017,20339,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,SK,2018,20953,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,SK,2019,21436,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,SK,2020,20759,
